date,adj_close
3/24/1987,301.64
3/25/1987,300.38
3/26/1987,300.93
3/27/1987,296.13
3/30/1987,289.2
3/31/1987,291.7
4/1/1987,292.39
4/2/1987,293.63
4/3/1987,300.41
4/6/1987,301.95
4/7/1987,296.69
4/8/1987,297.26
4/9/1987,292.86
4/10/1987,292.49
4/13/1987,285.62
4/14/1987,279.16
4/15/1987,284.44
4/16/1987,286.91
4/17/1987,286.91
4/20/1987,286.09
4/21/1987,293.07
4/22/1987,287.19
4/23/1987,286.82
4/24/1987,281.52
4/27/1987,281.83
4/28/1987,282.51
4/29/1987,284.57
4/30/1987,288.36
5/1/1987,288.03
5/4/1987,289.36
5/5/1987,295.34
5/6/1987,295.47
5/7/1987,294.71
5/8/1987,293.37
5/11/1987,291.57
5/12/1987,293.3
5/13/1987,293.98
5/14/1987,294.24
5/15/1987,287.43
5/18/1987,286.65
5/19/1987,279.62
5/20/1987,278.21
5/21/1987,280.17
5/22/1987,282.16
5/25/1987,282.16
5/26/1987,289.11
5/27/1987,288.73
5/28/1987,290.76
5/29/1987,290.1
6/1/1987,289.83
6/2/1987,288.46
6/3/1987,293.47
6/4/1987,295.09
6/5/1987,293.45
6/8/1987,296.72
6/9/1987,297.28
6/10/1987,297.47
6/11/1987,298.73
6/12/1987,301.62
6/15/1987,302.69
6/16/1987,304.76
6/17/1987,304.81
6/18/1987,305.69
6/19/1987,306.97
6/22/1987,309.65
6/23/1987,308.43
6/24/1987,306.86
6/25/1987,308.96
6/26/1987,307.16
6/29/1987,307.9
6/30/1987,304
7/1/1987,302.94
7/2/1987,305.63
7/3/1987,305.63
7/6/1987,304.92
7/7/1987,307.4
7/8/1987,308.29
7/9/1987,307.52
7/10/1987,308.37
7/13/1987,307.63
7/14/1987,310.68
7/15/1987,310.42
7/16/1987,312.1
7/17/1987,314.59
7/20/1987,311.39
7/21/1987,308.55
7/22/1987,308.47
7/23/1987,307.81
7/24/1987,309.27
7/27/1987,310.65
7/28/1987,312.33
7/29/1987,315.65
7/30/1987,318.05
7/31/1987,318.66
8/3/1987,317.57
8/4/1987,316.23
8/5/1987,318.45
8/6/1987,322.09
8/7/1987,323
8/10/1987,328
8/11/1987,333.33
8/12/1987,332.39
8/13/1987,334.65
8/14/1987,333.99
8/17/1987,334.11
8/18/1987,329.25
8/19/1987,329.83
8/20/1987,334.84
8/21/1987,335.9
8/24/1987,333.33
8/25/1987,336.77
8/26/1987,334.57
8/27/1987,331.38
8/28/1987,327.04
8/31/1987,329.8
9/1/1987,323.4
9/2/1987,321.68
9/3/1987,320.21
9/4/1987,316.7
9/7/1987,316.7
9/8/1987,313.56
9/9/1987,313.92
9/10/1987,317.13
9/11/1987,321.98
9/14/1987,323.08
9/15/1987,317.74
9/16/1987,314.86
9/17/1987,314.93
9/18/1987,314.86
9/21/1987,310.54
9/22/1987,319.5
9/23/1987,321.19
9/24/1987,319.72
9/25/1987,320.16
9/28/1987,323.2
9/29/1987,321.69
9/30/1987,321.83
10/1/1987,327.34
10/2/1987,328.07
10/5/1987,328.08
10/6/1987,319.22
